#变量导出文件（汇川）
#2025-10-24 12:52:17
#AutoShop:EasyMonitor{9C0001D5-7318-4ba2-A115-BB39F85EBE64}
#列A:名称
#列B:连接（如果为空，则是内部连接）
#列C:数据类型（取决于连接，有以下几种类型：Int16 、UInt16、Int32、UInt32、Float、Double、Bool、String、WString、DateTime，类型区分大小写。）
#列D:长度
#列E:数组计数
#列F:地址（取决于连接，寄存器名和数字之间的空格不能缺少。）
#列G:采集周期
#列H:采集模式（=根据命令1=循环使用（默认值）2=循环连续）
#列I:上限
#列J:下限
#列K:初始值（初始值类型取决于变量数据类型）
#列L:注释
#列M:变量组Id

名称,连接,数据类型,长度,数组计数,地址,采集周期,采集模式,上限,下限,初始值,注释,变量组Id
"轴[0].I_手动模式",,"Bool","1","1","UB 0407F01","100ms","1",,,,"手动模式所有定位功能可用，非手动模式点动不可用，设置位置不可用",1
"轴[0].I_回原启动",,"Bool","1","1","UB 0407F02","100ms","1",,,,"开始回原点",1
"轴[0].I_设定位置写入",,"Bool","1","1","UB 0407F03","100ms","1",,,,"写入设定的当前位置，成功后自复位",1
"轴[0].I_点动正转",,"Bool","1","1","UB 0407F04","100ms","1",,,,"点动正转",1
"轴[0].I_点动反转",,"Bool","1","1","UB 0407F05","100ms","1",,,,"点动反转",1
"轴[0].I_绝对定位启动",,"Bool","1","1","UB 0407F06","100ms","1",,,,"绝对定位启动，完成后自复位",1
"轴[0].I_相对定位启动",,"Bool","1","1","UB 0407F07","100ms","1",,,,"相对定位启动，完成后自复位",1
"轴[0].I_速度模式启动",,"Bool","1","1","UB 0407F08","100ms","1",,,,"转矩定位启动，完成后自复位",1
"轴[0].I_转矩定位启动",,"Bool","1","1","UB 0407F09","100ms","1",,,,"转矩定位启动，完成后自复位",1
"轴[0].I_轴停止",,"Bool","1","1","UB 0407F0A","100ms","1",,,,"轴减速停止",1
"轴[0].I_轴急停",,"Bool","1","1","UB 0407F0B","100ms","1",,,,"轴不减速立即停止",1
"轴[0].I_轴清报警",,"Bool","1","1","UB 0407F0C","100ms","1",,,,"清除轴报警",1
"轴[0].I_参数写入",,"Bool","1","1","UB 0407F0D","100ms","1",,,,"将配置的参数写入，成功后自复位",1
"轴[0].O_轴使能中",,"Bool","1","1","UB 0407F0E","100ms","1",,,,"轴使能成功",1
"轴[0].O_回原完成",,"Bool","1","1","UB 0407F0F","100ms","1",,,,"轴回原完成",1
"轴[0].O_定位完成",,"Bool","1","1","UB 0407F10","100ms","1",,,,"绝对或相对定位完成",1
"轴[0].O_转矩到达",,"Bool","1","1","UB 0407F11","100ms","1",,,,"转矩模式定位目标到达，当设置力矩达到目标力矩且反馈力矩和目标力矩的差值的绝对值在5%以内时输出有效",1
"轴[0].O_速度到达",,"Bool","1","1","UB 0407F12","100ms","1",,,,"速度模式下已经到达设定的速度",1
"轴[0].O_轴已停止",,"Bool","1","1","UB 0407F13","100ms","1",,,,"速度为0，且速度模式不忙",1
"轴[0].O_轴控指令错误",,"Bool","1","1","UB 0407F14","100ms","1",,,,"轴控有错误",1
"轴[0].O_负限位感应",,"Bool","1","1","UB 0407F15","100ms","1",,,,"",1
"轴[0].O_正限位感应",,"Bool","1","1","UB 0407F16","100ms","1",,,,"",1
"轴[0].O_原点感应",,"Bool","1","1","UB 0407F17","100ms","1",,,,"",1
"轴[1].I_原点偏移",,"Float","4","1","UW 0407F20","100ms","1",,,,"原点到达时的位置",1
"轴[1].I_点动速度",,"Float","4","1","UW 0407F40","100ms","1",,,,"点动运行速度",1
"轴[1].I_定位位置",,"Float","4","1","UW 0407F60","100ms","1",,,,"绝对定位和相对定位的距离",1
"轴[1].I_定位速度",,"Float","4","1","UW 0407F80","100ms","1",,,,"绝对定位或相对定位的速度",1
"轴[1].I_加速度",,"Float","4","1","UW 0407FA0","100ms","1",,,,"定位加速度",1
"轴[1].I_减速度",,"Float","4","1","UW 0407FC0","100ms","1",,,,"定位减速度",1
"轴[1].I_设定位置",,"Float","4","1","UW 0407FE0","100ms","1",,,,"设定当前位置为输入的位置",1
"轴[1].I_设定转矩百分比",,"Float","4","1","UW 0408000","100ms","1",,,,"转矩模式的目标转矩",1
"轴[1].I_转矩增量百分比",,"Float","4","1","UW 0408020","100ms","1",,,,"力矩斜坡(单位是%/s)设置力矩模式下的力矩指令加速度，即每秒力矩指令的增量",1
"轴[1].I_设定转矩速度",,"Float","4","1","UW 0408040","100ms","1",,,,"限制速度",1
"轴[1].I_速度模式速度",,"Float","4","1","UW 0408060","100ms","1",,,,"设定速度模式时的速度，正数正转负数反转",1
"轴[1].O_当前位置",,"Float","4","1","UW 0408080","100ms","1",,,,"读出的实时轴位置",1
"轴[1].O_当前速度",,"Float","4","1","UW 04080A0","100ms","1",,,,"读出的实时轴速度",1
"轴[1].O_当前力矩",,"Float","4","1","UW 04080C0","100ms","1",,,,"读出的实时轴力矩",1
"轴[1].O_轴控故障码",,"Int16","2","1","UW 04080E0","100ms","1",,,,"轴控故障时的错误码",1
"轴[1].O_PD0中0x603F的值",,"Int16","2","1","UW 04080F0","100ms","1",,,,"总线轴的寄存器里的故障码",1
"轴[1].O_读轴故障码",,"Int16","2","1","UW 0408100","100ms","1",,,,"轴控故障码",1
"轴[1].I_参数配置",,"Int16","2","1","UW 0408110","100ms","1",,,,"配置参数的数值，具体需查看手册",1
"轴[1].I_使能",,"Bool","1","1","UB 0408120","100ms","1",,,,"轴使能",1
"轴[1].I_手动模式",,"Bool","1","1","UB 0408121","100ms","1",,,,"手动模式所有定位功能可用，非手动模式点动不可用，设置位置不可用",1
"轴[1].I_回原启动",,"Bool","1","1","UB 0408122","100ms","1",,,,"开始回原点",1
"轴[1].I_设定位置写入",,"Bool","1","1","UB 0408123","100ms","1",,,,"写入设定的当前位置，成功后自复位",1
"轴[1].I_点动正转",,"Bool","1","1","UB 0408124","100ms","1",,,,"点动正转",1
"轴[1].I_点动反转",,"Bool","1","1","UB 0408125","100ms","1",,,,"点动反转",1
"轴[1].I_绝对定位启动",,"Bool","1","1","UB 0408126","100ms","1",,,,"绝对定位启动，完成后自复位",1
"轴[1].I_相对定位启动",,"Bool","1","1","UB 0408127","100ms","1",,,,"相对定位启动，完成后自复位",1
"轴[1].I_速度模式启动",,"Bool","1","1","UB 0408128","100ms","1",,,,"转矩定位启动，完成后自复位",1
"轴[1].I_转矩定位启动",,"Bool","1","1","UB 0408129","100ms","1",,,,"转矩定位启动，完成后自复位",1
"轴[1].I_轴停止",,"Bool","1","1","UB 040812A","100ms","1",,,,"轴减速停止",1
"轴[1].I_轴急停",,"Bool","1","1","UB 040812B","100ms","1",,,,"轴不减速立即停止",1
"轴[1].I_轴清报警",,"Bool","1","1","UB 040812C","100ms","1",,,,"清除轴报警",1
"轴[1].I_参数写入",,"Bool","1","1","UB 040812D","100ms","1",,,,"将配置的参数写入，成功后自复位",1
"轴[1].O_轴使能中",,"Bool","1","1","UB 040812E","100ms","1",,,,"轴使能成功",1
"轴[1].O_回原完成",,"Bool","1","1","UB 040812F","100ms","1",,,,"轴回原完成",1
"轴[1].O_定位完成",,"Bool","1","1","UB 0408130","100ms","1",,,,"绝对或相对定位完成",1
"轴[1].O_转矩到达",,"Bool","1","1","UB 0408131","100ms","1",,,,"转矩模式定位目标到达，当设置力矩达到目标力矩且反馈力矩和目标力矩的差值的绝对值在5%以内时输出有效",1
"轴[1].O_速度到达",,"Bool","1","1","UB 0408132","100ms","1",,,,"速度模式下已经到达设定的速度",1
"轴[1].O_轴已停止",,"Bool","1","1","UB 0408133","100ms","1",,,,"速度为0，且速度模式不忙",1
"轴[1].O_轴控指令错误",,"Bool","1","1","UB 0408134","100ms","1",,,,"轴控有错误",1
"轴[1].O_负限位感应",,"Bool","1","1","UB 0408135","100ms","1",,,,"",1
"轴[1].O_正限位感应",,"Bool","1","1","UB 0408136","100ms","1",,,,"",1
"轴[1].O_原点感应",,"Bool","1","1","UB 0408137","100ms","1",,,,"",1
"轴[2].I_原点偏移",,"Float","4","1","UW 0408140","100ms","1",,,,"原点到达时的位置",1
"轴[2].I_点动速度",,"Float","4","1","UW 0408160","100ms","1",,,,"点动运行速度",1
"轴[2].I_定位位置",,"Float","4","1","UW 0408180","100ms","1",,,,"绝对定位和相对定位的距离",1
"轴[2].I_定位速度",,"Float","4","1","UW 04081A0","100ms","1",,,,"绝对定位或相对定位的速度",1
"轴[2].I_加速度",,"Float","4","1","UW 04081C0","100ms","1",,,,"定位加速度",1
"轴[2].I_减速度",,"Float","4","1","UW 04081E0","100ms","1",,,,"定位减速度",1
"轴[2].I_设定位置",,"Float","4","1","UW 0408200","100ms","1",,,,"设定当前位置为输入的位置",1
"轴[2].I_设定转矩百分比",,"Float","4","1","UW 0408220","100ms","1",,,,"转矩模式的目标转矩",1
"轴[2].I_转矩增量百分比",,"Float","4","1","UW 0408240","100ms","1",,,,"力矩斜坡(单位是%/s)设置力矩模式下的力矩指令加速度，即每秒力矩指令的增量",1
"轴[2].I_设定转矩速度",,"Float","4","1","UW 0408260","100ms","1",,,,"限制速度",1
"轴[2].I_速度模式速度",,"Float","4","1","UW 0408280","100ms","1",,,,"设定速度模式时的速度，正数正转负数反转",1
"轴[2].O_当前位置",,"Float","4","1","UW 04082A0","100ms","1",,,,"读出的实时轴位置",1
"轴[2].O_当前速度",,"Float","4","1","UW 04082C0","100ms","1",,,,"读出的实时轴速度",1
"轴[2].O_当前力矩",,"Float","4","1","UW 04082E0","100ms","1",,,,"读出的实时轴力矩",1
"轴[2].O_轴控故障码",,"Int16","2","1","UW 0408300","100ms","1",,,,"轴控故障时的错误码",1
"轴[2].O_PD0中0x603F的值",,"Int16","2","1","UW 0408310","100ms","1",,,,"总线轴的寄存器里的故障码",1
"轴[2].O_读轴故障码",,"Int16","2","1","UW 0408320","100ms","1",,,,"轴控故障码",1
"轴[2].I_参数配置",,"Int16","2","1","UW 0408330","100ms","1",,,,"配置参数的数值，具体需查看手册",1
"轴[2].I_使能",,"Bool","1","1","UB 0408340","100ms","1",,,,"轴使能",1
"轴[2].I_手动模式",,"Bool","1","1","UB 0408341","100ms","1",,,,"手动模式所有定位功能可用，非手动模式点动不可用，设置位置不可用",1
"轴[2].I_回原启动",,"Bool","1","1","UB 0408342","100ms","1",,,,"开始回原点",1
"轴[2].I_设定位置写入",,"Bool","1","1","UB 0408343","100ms","1",,,,"写入设定的当前位置，成功后自复位",1
"轴[2].I_点动正转",,"Bool","1","1","UB 0408344","100ms","1",,,,"点动正转",1
"轴[2].I_点动反转",,"Bool","1","1","UB 0408345","100ms","1",,,,"点动反转",1
"轴[2].I_绝对定位启动",,"Bool","1","1","UB 0408346","100ms","1",,,,"绝对定位启动，完成后自复位",1
"轴[2].I_相对定位启动",,"Bool","1","1","UB 0408347","100ms","1",,,,"相对定位启动，完成后自复位",1
"轴[2].I_速度模式启动",,"Bool","1","1","UB 0408348","100ms","1",,,,"转矩定位启动，完成后自复位",1
"轴[2].I_转矩定位启动",,"Bool","1","1","UB 0408349","100ms","1",,,,"转矩定位启动，完成后自复位",1
"轴[2].I_轴停止",,"Bool","1","1","UB 040834A","100ms","1",,,,"轴减速停止",1
"轴[2].I_轴急停",,"Bool","1","1","UB 040834B","100ms","1",,,,"轴不减速立即停止",1
"轴[2].I_轴清报警",,"Bool","1","1","UB 040834C","100ms","1",,,,"清除轴报警",1
"轴[2].I_参数写入",,"Bool","1","1","UB 040834D","100ms","1",,,,"将配置的参数写入，成功后自复位",1
"轴[2].O_轴使能中",,"Bool","1","1","UB 040834E","100ms","1",,,,"轴使能成功",1
"轴[2].O_回原完成",,"Bool","1","1","UB 040834F","100ms","1",,,,"轴回原完成",1
"轴[2].O_定位完成",,"Bool","1","1","UB 0408350","100ms","1",,,,"绝对或相对定位完成",1
"轴[2].O_转矩到达",,"Bool","1","1","UB 0408351","100ms","1",,,,"转矩模式定位目标到达，当设置力矩达到目标力矩且反馈力矩和目标力矩的差值的绝对值在5%以内时输出有效",1
"轴[2].O_速度到达",,"Bool","1","1","UB 0408352","100ms","1",,,,"速度模式下已经到达设定的速度",1
"轴[2].O_轴已停止",,"Bool","1","1","UB 0408353","100ms","1",,,,"速度为0，且速度模式不忙",1
"轴[2].O_轴控指令错误",,"Bool","1","1","UB 0408354","100ms","1",,,,"轴控有错误",1
"轴[2].O_负限位感应",,"Bool","1","1","UB 0408355","100ms","1",,,,"",1
"轴[2].O_正限位感应",,"Bool","1","1","UB 0408356","100ms","1",,,,"",1
"轴[2].O_原点感应",,"Bool","1","1","UB 0408357","100ms","1",,,,"",1
"轴[3].I_原点偏移",,"Float","4","1","UW 0408360","100ms","1",,,,"原点到达时的位置",1
"轴[3].I_点动速度",,"Float","4","1","UW 0408380","100ms","1",,,,"点动运行速度",1
"轴[3].I_定位位置",,"Float","4","1","UW 04083A0","100ms","1",,,,"绝对定位和相对定位的距离",1
"轴[3].I_定位速度",,"Float","4","1","UW 04083C0","100ms","1",,,,"绝对定位或相对定位的速度",1
"轴[3].I_加速度",,"Float","4","1","UW 04083E0","100ms","1",,,,"定位加速度",1
"轴[3].I_减速度",,"Float","4","1","UW 0408400","100ms","1",,,,"定位减速度",1
"轴[3].I_设定位置",,"Float","4","1","UW 0408420","100ms","1",,,,"设定当前位置为输入的位置",1
"轴[3].I_设定转矩百分比",,"Float","4","1","UW 0408440","100ms","1",,,,"转矩模式的目标转矩",1
"轴[3].I_转矩增量百分比",,"Float","4","1","UW 0408460","100ms","1",,,,"力矩斜坡(单位是%/s)设置力矩模式下的力矩指令加速度，即每秒力矩指令的增量",1
"轴[3].I_设定转矩速度",,"Float","4","1","UW 0408480","100ms","1",,,,"限制速度",1
"轴[3].I_速度模式速度",,"Float","4","1","UW 04084A0","100ms","1",,,,"设定速度模式时的速度，正数正转负数反转",1
"轴[3].O_当前位置",,"Float","4","1","UW 04084C0","100ms","1",,,,"读出的实时轴位置",1
"轴[3].O_当前速度",,"Float","4","1","UW 04084E0","100ms","1",,,,"读出的实时轴速度",1
"轴[3].O_当前力矩",,"Float","4","1","UW 0408500","100ms","1",,,,"读出的实时轴力矩",1
"轴[3].O_轴控故障码",,"Int16","2","1","UW 0408520","100ms","1",,,,"轴控故障时的错误码",1
"轴[3].O_PD0中0x603F的值",,"Int16","2","1","UW 0408530","100ms","1",,,,"总线轴的寄存器里的故障码",1
"轴[3].O_读轴故障码",,"Int16","2","1","UW 0408540","100ms","1",,,,"轴控故障码",1
"轴[3].I_参数配置",,"Int16","2","1","UW 0408550","100ms","1",,,,"配置参数的数值，具体需查看手册",1
"轴[3].I_使能",,"Bool","1","1","UB 0408560","100ms","1",,,,"轴使能",1
"轴[3].I_手动模式",,"Bool","1","1","UB 0408561","100ms","1",,,,"手动模式所有定位功能可用，非手动模式点动不可用，设置位置不可用",1
"轴[3].I_回原启动",,"Bool","1","1","UB 0408562","100ms","1",,,,"开始回原点",1
"轴[3].I_设定位置写入",,"Bool","1","1","UB 0408563","100ms","1",,,,"写入设定的当前位置，成功后自复位",1
"轴[3].I_点动正转",,"Bool","1","1","UB 0408564","100ms","1",,,,"点动正转",1
"轴[3].I_点动反转",,"Bool","1","1","UB 0408565","100ms","1",,,,"点动反转",1
"轴[3].I_绝对定位启动",,"Bool","1","1","UB 0408566","100ms","1",,,,"绝对定位启动，完成后自复位",1
"轴[3].I_相对定位启动",,"Bool","1","1","UB 0408567","100ms","1",,,,"相对定位启动，完成后自复位",1
"轴[3].I_速度模式启动",,"Bool","1","1","UB 0408568","100ms","1",,,,"转矩定位启动，完成后自复位",1
"轴[3].I_转矩定位启动",,"Bool","1","1","UB 0408569","100ms","1",,,,"转矩定位启动，完成后自复位",1
"轴[3].I_轴停止",,"Bool","1","1","UB 040856A","100ms","1",,,,"轴减速停止",1
"轴[3].I_轴急停",,"Bool","1","1","UB 040856B","100ms","1",,,,"轴不减速立即停止",1
"轴[3].I_轴清报警",,"Bool","1","1","UB 040856C","100ms","1",,,,"清除轴报警",1
"轴[3].I_参数写入",,"Bool","1","1","UB 040856D","100ms","1",,,,"将配置的参数写入，成功后自复位",1
"轴[3].O_轴使能中",,"Bool","1","1","UB 040856E","100ms","1",,,,"轴使能成功",1
"轴[3].O_回原完成",,"Bool","1","1","UB 040856F","100ms","1",,,,"轴回原完成",1
"轴[3].O_定位完成",,"Bool","1","1","UB 0408570","100ms","1",,,,"绝对或相对定位完成",1
"轴[3].O_转矩到达",,"Bool","1","1","UB 0408571","100ms","1",,,,"转矩模式定位目标到达，当设置力矩达到目标力矩且反馈力矩和目标力矩的差值的绝对值在5%以内时输出有效",1
"轴[3].O_速度到达",,"Bool","1","1","UB 0408572","100ms","1",,,,"速度模式下已经到达设定的速度",1
"轴[3].O_轴已停止",,"Bool","1","1","UB 0408573","100ms","1",,,,"速度为0，且速度模式不忙",1
"轴[3].O_轴控指令错误",,"Bool","1","1","UB 0408574","100ms","1",,,,"轴控有错误",1
"轴[3].O_负限位感应",,"Bool","1","1","UB 0408575","100ms","1",,,,"",1
"轴[3].O_正限位感应",,"Bool","1","1","UB 0408576","100ms","1",,,,"",1
"轴[3].O_原点感应",,"Bool","1","1","UB 0408577","100ms","1",,,,"",1
"轴[4].I_原点偏移",,"Float","4","1","UW 0408580","100ms","1",,,,"原点到达时的位置",1
"轴[4].I_点动速度",,"Float","4","1","UW 04085A0","100ms","1",,,,"点动运行速度",1
"轴[4].I_定位位置",,"Float","4","1","UW 04085C0","100ms","1",,,,"绝对定位和相对定位的距离",1
"轴[4].I_定位速度",,"Float","4","1","UW 04085E0","100ms","1",,,,"绝对定位或相对定位的速度",1
"轴[4].I_加速度",,"Float","4","1","UW 0408600","100ms","1",,,,"定位加速度",1
"轴[4].I_减速度",,"Float","4","1","UW 0408620","100ms","1",,,,"定位减速度",1
"轴[4].I_设定位置",,"Float","4","1","UW 0408640","100ms","1",,,,"设定当前位置为输入的位置",1
"轴[4].I_设定转矩百分比",,"Float","4","1","UW 0408660","100ms","1",,,,"转矩模式的目标转矩",1
"轴[4].I_转矩增量百分比",,"Float","4","1","UW 0408680","100ms","1",,,,"力矩斜坡(单位是%/s)设置力矩模式下的力矩指令加速度，即每秒力矩指令的增量",1
"轴[4].I_设定转矩速度",,"Float","4","1","UW 04086A0","100ms","1",,,,"限制速度",1
"轴[4].I_速度模式速度",,"Float","4","1","UW 04086C0","100ms","1",,,,"设定速度模式时的速度，正数正转负数反转",1
"轴[4].O_当前位置",,"Float","4","1","UW 04086E0","100ms","1",,,,"读出的实时轴位置",1
"轴[4].O_当前速度",,"Float","4","1","UW 0408700","100ms","1",,,,"读出的实时轴速度",1
"轴[4].O_当前力矩",,"Float","4","1","UW 0408720","100ms","1",,,,"读出的实时轴力矩",1
"轴[4].O_轴控故障码",,"Int16","2","1","UW 0408740","100ms","1",,,,"轴控故障时的错误码",1
"轴[4].O_PD0中0x603F的值",,"Int16","2","1","UW 0408750","100ms","1",,,,"总线轴的寄存器里的故障码",1
"轴[4].O_读轴故障码",,"Int16","2","1","UW 0408760","100ms","1",,,,"轴控故障码",1
"轴[4].I_参数配置",,"Int16","2","1","UW 0408770","100ms","1",,,,"配置参数的数值，具体需查看手册",1
"轴[4].I_使能",,"Bool","1","1","UB 0408780","100ms","1",,,,"轴使能",1
"轴[4].I_手动模式",,"Bool","1","1","UB 0408781","100ms","1",,,,"手动模式所有定位功能可用，非手动模式点动不可用，设置位置不可用",1
"轴[4].I_回原启动",,"Bool","1","1","UB 0408782","100ms","1",,,,"开始回原点",1
"轴[4].I_设定位置写入",,"Bool","1","1","UB 0408783","100ms","1",,,,"写入设定的当前位置，成功后自复位",1
"轴[4].I_点动正转",,"Bool","1","1","UB 0408784","100ms","1",,,,"点动正转",1
"轴[4].I_点动反转",,"Bool","1","1","UB 0408785","100ms","1",,,,"点动反转",1
"轴[4].I_绝对定位启动",,"Bool","1","1","UB 0408786","100ms","1",,,,"绝对定位启动，完成后自复位",1
"轴[4].I_相对定位启动",,"Bool","1","1","UB 0408787","100ms","1",,,,"相对定位启动，完成后自复位",1
"轴[4].I_速度模式启动",,"Bool","1","1","UB 0408788","100ms","1",,,,"转矩定位启动，完成后自复位",1
"轴[4].I_转矩定位启动",,"Bool","1","1","UB 0408789","100ms","1",,,,"转矩定位启动，完成后自复位",1
"轴[4].I_轴停止",,"Bool","1","1","UB 040878A","100ms","1",,,,"轴减速停止",1
"轴[4].I_轴急停",,"Bool","1","1","UB 040878B","100ms","1",,,,"轴不减速立即停止",1
"轴[4].I_轴清报警",,"Bool","1","1","UB 040878C","100ms","1",,,,"清除轴报警",1
"轴[4].I_参数写入",,"Bool","1","1","UB 040878D","100ms","1",,,,"将配置的参数写入，成功后自复位",1
"轴[4].O_轴使能中",,"Bool","1","1","UB 040878E","100ms","1",,,,"轴使能成功",1
"轴[4].O_回原完成",,"Bool","1","1","UB 040878F","100ms","1",,,,"轴回原完成",1
"轴[4].O_定位完成",,"Bool","1","1","UB 0408790","100ms","1",,,,"绝对或相对定位完成",1
"轴[4].O_转矩到达",,"Bool","1","1","UB 0408791","100ms","1",,,,"转矩模式定位目标到达，当设置力矩达到目标力矩且反馈力矩和目标力矩的差值的绝对值在5%以内时输出有效",1
"轴[4].O_速度到达",,"Bool","1","1","UB 0408792","100ms","1",,,,"速度模式下已经到达设定的速度",1
"轴[4].O_轴已停止",,"Bool","1","1","UB 0408793","100ms","1",,,,"速度为0，且速度模式不忙",1
"轴[4].O_轴控指令错误",,"Bool","1","1","UB 0408794","100ms","1",,,,"轴控有错误",1
"轴[4].O_负限位感应",,"Bool","1","1","UB 0408795","100ms","1",,,,"",1
"轴[4].O_正限位感应",,"Bool","1","1","UB 0408796","100ms","1",,,,"",1
"轴[4].O_原点感应",,"Bool","1","1","UB 0408797","100ms","1",,,,"",1
"轴[5].I_原点偏移",,"Float","4","1","UW 04087A0","100ms","1",,,,"原点到达时的位置",1
"轴[5].I_点动速度",,"Float","4","1","UW 04087C0","100ms","1",,,,"点动运行速度",1
"轴[5].I_定位位置",,"Float","4","1","UW 04087E0","100ms","1",,,,"绝对定位和相对定位的距离",1
"轴[5].I_定位速度",,"Float","4","1","UW 0408800","100ms","1",,,,"绝对定位或相对定位的速度",1
"轴[5].I_加速度",,"Float","4","1","UW 0408820","100ms","1",,,,"定位加速度",1
"轴[5].I_减速度",,"Float","4","1","UW 0408840","100ms","1",,,,"定位减速度",1
"轴[5].I_设定位置",,"Float","4","1","UW 0408860","100ms","1",,,,"设定当前位置为输入的位置",1
"轴[5].I_设定转矩百分比",,"Float","4","1","UW 0408880","100ms","1",,,,"转矩模式的目标转矩",1
"轴[5].I_转矩增量百分比",,"Float","4","1","UW 04088A0","100ms","1",,,,"力矩斜坡(单位是%/s)设置力矩模式下的力矩指令加速度，即每秒力矩指令的增量",1
"轴[5].I_设定转矩速度",,"Float","4","1","UW 04088C0","100ms","1",,,,"限制速度",1
"轴[5].I_速度模式速度",,"Float","4","1","UW 04088E0","100ms","1",,,,"设定速度模式时的速度，正数正转负数反转",1
"轴[5].O_当前位置",,"Float","4","1","UW 0408900","100ms","1",,,,"读出的实时轴位置",1
"轴[5].O_当前速度",,"Float","4","1","UW 0408920","100ms","1",,,,"读出的实时轴速度",1
"轴[5].O_当前力矩",,"Float","4","1","UW 0408940","100ms","1",,,,"读出的实时轴力矩",1
"轴[5].O_轴控故障码",,"Int16","2","1","UW 0408960","100ms","1",,,,"轴控故障时的错误码",1
"轴[5].O_PD0中0x603F的值",,"Int16","2","1","UW 0408970","100ms","1",,,,"总线轴的寄存器里的故障码",1
"轴[5].O_读轴故障码",,"Int16","2","1","UW 0408980","100ms","1",,,,"轴控故障码",1
"轴[5].I_参数配置",,"Int16","2","1","UW 0408990","100ms","1",,,,"配置参数的数值，具体需查看手册",1
"轴[5].I_使能",,"Bool","1","1","UB 04089A0","100ms","1",,,,"轴使能",1
"轴[5].I_手动模式",,"Bool","1","1","UB 04089A1","100ms","1",,,,"手动模式所有定位功能可用，非手动模式点动不可用，设置位置不可用",1
"轴[5].I_回原启动",,"Bool","1","1","UB 04089A2","100ms","1",,,,"开始回原点",1
"轴[5].I_设定位置写入",,"Bool","1","1","UB 04089A3","100ms","1",,,,"写入设定的当前位置，成功后自复位",1
"轴[5].I_点动正转",,"Bool","1","1","UB 04089A4","100ms","1",,,,"点动正转",1
"轴[5].I_点动反转",,"Bool","1","1","UB 04089A5","100ms","1",,,,"点动反转",1
"轴[5].I_绝对定位启动",,"Bool","1","1","UB 04089A6","100ms","1",,,,"绝对定位启动，完成后自复位",1
"轴[5].I_相对定位启动",,"Bool","1","1","UB 04089A7","100ms","1",,,,"相对定位启动，完成后自复位",1
"轴[5].I_速度模式启动",,"Bool","1","1","UB 04089A8","100ms","1",,,,"转矩定位启动，完成后自复位",1
"轴[5].I_转矩定位启动",,"Bool","1","1","UB 04089A9","100ms","1",,,,"转矩定位启动，完成后自复位",1
